Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1,1,200,0,0
1,1,189.568523569328,4.31829034934699,0.000768402623375
0.994915113019271,1,179.879281751814,4.62444372124196,0.000616611625481
0.937355060037168,0.99,172.187336385066,7.61462400865815,0.000485102968711
0.892341680167043,0.99,165.248931552497,9.0297167952778,0.000378685242941
0.85723842920479,0.99,158.659818723938,9.24274934753436,0.000358929660745
0.82417679688422,0.98,152.980538180362,11.4343328492956,0.000266653932536
0.783125724812852,0.97,148.098187000021,11.5851011877961,0.000262325548238
0.74827909244309,0.95,144.031542559921,11.7715385836568,0.000183523614916
0.717021829828978,0.94,140.268777107093,11.9244072592772,0.000111440207336
0.691890501070413,0.94,136.89944166195,11.9431104847258,0.00017739343944
