Throughput,Net_Life,Net_Energy,Latency,Energy_Balance
1.0,1.0,200.0,0.0,0.0
1.0,1.0,185.54531300674108,5.55424255428028,0.0009147776964920787
0.9920181559933304,1.0,170.45667703132682,7.638462412036758,0.0008994776220421028
0.9426073382996607,1.0,156.84545762940667,7.899731860389043,0.0008923665624302487
0.8859629750170479,0.99,145.78348405851744,8.492046471676849,0.000611977544689081
0.8513858592877903,0.97,137.63007646174893,8.159272768640461,0.0006684184287639457
0.7992776251398833,0.93,131.1839978484231,10.467982188775656,0.00036433292170014354
0.7508006880203008,0.92,126.72951233103882,10.536072638732124,0.00031549052735854163
0.7104774749981235,0.91,122.35300455610367,10.955535944484609,0.0002977292472516301
0.6801151494857018,0.89,118.04363628706142,10.699252378968735,0.0002262679387056751
0.6517429212525516,0.87,114.69671535789266,11.081954456936286,0.00025415836469999816
